objid,type,ra,dec,u,g,r,i,z,redshift
1237671768542544196,GALAXY,257.952832015722,64.1525800306957,18.69041,17.46782,16.83636,16.44554,16.20819,0.08277614
1237671768542544274,GALAXY,258.056998922109,64.141002360159,19.2431,17.33631,16.45946,16.05503,15.7029,0.0736187
1237671768542544330,GALAXY,258.095659977437,64.1412793868674,18.59752,17.57762,17.20822,16.87209,16.74444,0.07523879
1237671939804561470,GALAXY,258.208366383736,64.0529482205171,19.22208,17.00105,16.03318,15.59466,15.34225,0.07395603
1237671939804561475,GALAXY,258.213356620306,64.0731695837472,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364
1237671939804561476,GALAXY,258.119946070518,64.0607482946166,17.35083,14.94665,14.0375,13.56921,13.33719,0.07343803
1237671939804561484,GALAXY,258.181636220846,64.0535395506805,19.60752,17.72213,16.78737,16.35058,16.07873,0.08562605
1237671939804561603,GALAXY,258.226782235334,63.9924176935157,18.13377,16.21136,15.26339,14.83432,14.50581,0.08285826
1237671939804561830,GALAXY,257.991871547624,64.0891510021973,18.8715,16.84598,15.92457,15.48088,15.13799,0.07968805
1237671939804627265,GALAXY,258.265722450296,64.1171180093868,18.49716,16.4852,15.5344,15.09496,14.75453,0.08092269
1237671939804627306,GALAXY,258.340516630173,64.0690707331199,18.71745,16.65773,15.71131,15.28201,14.95813,0.0761909
1237671939804627307,GALAXY,258.329332577072,64.0768468165111,18.16275,16.11195,15.15861,14.73168,14.4307,0.08112399
